PARAMETR,"('A named entity in a function definition that specifies an argument that the function can accept', 'https://docs.python.org/3/glossary.html#term-parameter')"
TUPLE,"('Object similar to a list. The difference between the two is that we cannot change the elements of a tuple once it is assigned whereas in a list  elements can be changed.', 'https://www.programiz.com/python-programming/tuple')"
METHOD,"('A function which is defined inside a class body.', 'https://docs.python.org/3/glossary.html#term-method')"
MODULE,"('An object that serves as an organizational unit of Python code', 'https://docs.python.org/3/glossary.html#term-module')"
ARGUMENT,"('A value passed to a function (or method) when calling the function', 'https://docs.python.org/3/glossary.html#term-argument')"
STRING,"(' A string is a sequence of characters.', 'https://www.programiz.com/python-programming/string')"
VCS,"('A component of software configuration management version control system also known as revision control or source control', 'https://en.wikipedia.org/wiki/Version_control')"
IMMUTABLE,"('An object with a fixed value. Immutable objects include numbers strings and tuples.', 'https://docs.python.org/3/glossary.html#term-immutable')"
LOOP,"('Loops are used in programming to repeat a specific block of code.', 'https://www.programiz.com/python-programming/while-loop')"
VARIABLE,"(' A variable is a location in memory used to store some data (value). ', 'https://www.programiz.com/python-programming/variables-datatypes')"
ITERABLES,"('An object capable of returning its members one at a time.', 'https://docs.python.org/3/glossary.html#term-iterable')"
FUNCTION,"('A series of statements which returns some value to a caller. ', 'https://docs.python.org/3/glossary.html#term-function')"
ASCII table,"('ASCII stands for American Standard Code for Information Interchange. ASCII code is the numerical representation of a characters.', 'http://www.asciitable.com/')"
LIST,"('A built-in Python sequence.', 'https://docs.python.org/3/glossary.html#term-list')"
DICTIONARY,"('An associative array where arbitrary keys are mapped to values.', 'https://docs.python.org/3/glossary.html#term-dictionary')"
